YM,Year,Month,Flow,Banff_precip,Ghost RS_precip,Lake Louise_precip,Elbow Ranger Station_precip,Calgary Intl A_precip,Three Isle Lake_avetemp_avg_temp,Cuthead Lake_avetemp_avg_temp,Banff_avetemp_avg_temp,Ghost RS_avetemp_avg_temp,Lake Louise_avetemp_avg_temp,Skoki Mountain_avetemp_avg_temp,Sunshine Village_avetemp_avg_temp,Little Elbow Summit_avetemp_avg_temp,Forget-me-not Mountain_avetemp_avg_temp,Elbow Ranger Station_avetemp_avg_temp,Scotch Camp_avetemp_avg_temp,Dogrib Creek_avetemp_avg_temp,Calgary Intl A_avetemp_avg_temp,Banff_max_temp,Ghost RS_max_temp,Lake Louise_max_temp,Elbow Ranger Station_max_temp,Calgary Intl A_max_temp,Three Isle Lake_min_temp,Cuthead Lake_min_temp,Banff_min_temp,Ghost RS_min_temp,Lake Louise_min_temp,Elbow Ranger Station_min_temp,Calgary Intl A_min_temp,nao.long,pdo.timeseries.cobe2-sst,pdo.timeseries.ersstv5,pdo.timeseries.hdsst1-1,pdo.timeseries.sstens,pna,SOI.dp3,amo,nino4.long.anom,nino3.long.anom,nino34.long.anom,AO,SD_BA801_802_808,SD_BL804_805,SD_BA810,SW_BA801_802_808,SW_BL804_805,SW_BA810
Feb-84,1984,2,0,15.2,9.2,47,12.2,2.6,-5.958405161,-4.807278,-3.087419355,-1.1,-7.7,-6.61629,-6.646,-4.984802452,-0.595924667,-1.2,-2.44302,-2.177708,1,9.56,6.2,5,14.5,17.4,-20.25541,-17.683978,-17.64,-8.4,-25.5,-15,-11.3,1.73,1.031,1.046,1.099,1.129,0.73,0.434,0.07,-0.65,-0.44,-0.53,-0.303,62.66666667,0,0,133,0,0
Mar-84,1984,3,20.49,21.6,28.8,62.3,41,20.3,-5.802553806,-3.926280387,-1.698709677,-2.6,-3.6,-6.602585032,-6.337419355,-5.597476774,-2.765534581,-3.9,-2.491341613,-4.440879742,-1.7,12.92,4.4,8,11,14.1,-21.596314,-19.021714,-20.4,-9.6,-22.5,-25,-25.2,-2.12,1.362,1.381,1.366,1.461,1.08,-0.847,-0.04,-0.76,-0.25,-0.48,-2.386,66,0,122,156.3333333,0,323
Apr-84,1984,4,29.536,21.2,22.3,27.7,33.2,15.5,-0.829898968,0.030358065,2.47608871,2.2,0.5,-0.76856,0.722703226,-0.103365548,3.454784,1.7,2.912256387,1.329374129,5.4,18.5,9.5,18.5,24,27.1,-13.776646,-12.301112,-9.68,-5.1,-13,-13,-8.1,0.33,1.163,1.001,0.967,1.104,1.41,0.387,-0.04,-0.85,-0.43,-0.6,-0.284,63.66666667,56,123,163.3333333,118,376
May-84,1984,5,55.445,53.8,61.7,44.9,68.2,65.8,2.12496,2.188761333,6.668,5.4,3.6,2.032251333,3.570543333,2.390395333,5.703482667,4.9,4.943676,1.510107527,8.7,23.44,12.4,20,24,26.8,-11.847672,-9.992294,-6.86,-1.6,-7.5,-15,-4.5,-2.34,0.998,0.942,0.905,0.997,0.37,-0.034,-0.03,-0.85,-0.77,-0.64,0.479,0,0,103,0,0,345
Jun-84,1984,6,216.025,46,66.6,22.3,121,73,3.087741935,3.87483871,8.510967742,10.1,8.9,4.613548387,3.013548387,4.429032258,6.84967742,9.7,6.56451613,4.488387097,13.8,25.78,17.8,24,27,30.2,-11.04,-8.6,-5.22,2.3,-4.5,-4,2.3,0.33,0.239,0.074,-0.018,0.095,-0.36,-1.219,-0.32,-0.78,-1.1,-0.9,0.007,0,0,88,0,0,338
Jul-84,1984,7,174.16,26.4,19.6,5.3,29.8,24.6,9.313084,8.670677333,12.96,13.4,12.5,8.774112,7.301333333,8.762222,11.26036333,13.4,10.992304,7.900666667,17.4,30.4,22.9,29.5,33,35.3,-1.306738,-2.885232,-0.72,3.8,-1.5,-2,3.4,0.93,0.152,0.098,-0.085,0.075,-2.61,0.121,-0.26,-0.51,-0.59,-0.4,0.019,0,0,0,0,0,0
Aug-84,1984,8,113.7975,73,14.4,29.2,20.2,16.4,5.097267333,4.562839333,7.048,13.5,11.8,5.180393527,4.259931333,5.19546,8.280902,13.4,7.568814666,5.91875,17.4,21.6,23.4,27,30.5,31.4,-5.261352,-7.199714,-6.84,3.5,-2,-4,-0.5,1,0.622,0.505,0.41,0.558,-1.14,0.098,-0.1,-0.57,-0.5,-0.4,0.466,0,0,0,0,0,0
Sep-84,1984,9,82.085,52.6,71.1,14.6,95.4,108.2,3.968387097,5.772258065,10.64258065,4.9,4.5,7.474530129,5.136129032,5.328387097,9.076129033,4.5,8.538709678,6.643870967,7.5,26.9,12.3,19.5,24,27.8,-8.94,-4.88,-1.72,-2.5,-13,-18.5,-7.7,-1.31,0.741,0.479,0.527,0.622,-0.02,0.171,-0.1,-0.34,-0.39,-0.35,-0.413,0,0,0,0,0,0
Oct-84,1984,10,0,24.5,31.9,41.8,90.2,18.3,-5.980064516,-6.112258065,-1.811247312,-0.7,-1,-6.459419355,-6.752838709,-5.196645161,-2.431204301,-0.7,-2.902752688,-4.508043011,1.9,12.26,5.9,21,25,26.7,-22.88,-20.1,-18.98,-7.3,-32,-32,-25.7,1.66,0.721,0.7,0.555,0.703,-0.53,-0.607,-0.19,-0.7,-0.86,-0.83,-0.27,0,0,0,0,0,0
Nov-84,1984,11,0,19.4,5.4,54.5,11,5.3,-9.910493484,-10.40404374,-8.02580645,-6.2,-9.1,-9.040694,-10.09612903,-8.490365872,-5.839328774,-6.8,-6.308698452,-6.964449226,-5.4,4.2,1.3,3,9,11.7,-29.207154,-27.481478,-29.08,-13.7,-30.5,-34,-27,-1.16,0.568,0.636,0.508,0.593,0.39,0.117,-0.25,-0.91,-0.98,-1.18,-0.966,0,0,0,0,0,0
Dec-84,1984,12,0,51.8,11.6,93,16.6,7.3,-10.05154639,-9.822320129,-9.14,-9.08,-19.1,-10.54319368,-10.91354839,-10.26673458,-6.109389742,-15,-11.14257968,-8.464163355,-12.5,6.94,-1.2,-1.5,6,16.1,-33.510212,-29.83686,-35.62,-23.7,-40,-36,-36.2,1.52,0.397,0.476,0.392,0.43,-1.9,-0.239,-0.16,-1.11,-1.36,-1.53,0.446,0,0,0,0,0,0
Jan-85,1985,1,0,0.6,6.3,40,12.2,3.4,-10.03356335,-10.2583069,-8.704516129,-7.9,-14.9,-10.15665097,-9.981935484,-9.501303419,-5.884472774,-7.7,-7.239457742,-6.583947355,-5.2,4.92,0.4,0,12,10.8,-33.558364,-26.572708,-30.88,-16.1,-39,-36,-27.1,-2.87,0.818,0.831,0.842,0.875,1.44,-0.548,-0.22,-0.53,-1.01,-0.89,-2.806,0,0,0,0,0,0
Feb-85,1985,2,0,8.8,17.6,48,19,15.9,-12.19161103,-12.65489677,-10.5316129,-10.4,-13.3,-11.290864,-12.46903226,-11.04389645,-9.071612904,-11.6,-10.40387097,-10.37806452,-8.4,3.76,-2.2,3,4.5,11.9,-36.746022,-32.328686,-35.5,-18.6,-39,-38,-32.2,-0.24,0.55,0.587,0.547,0.588,-0.99,0.787,-0.26,-0.6,-1.02,-0.91,-1.44,71.33333333,0,0,157,0,0
Mar-85,1985,3,18.3875,8.8,21.7,37,17.6,2.8,-7.175537097,-6.38500271,-4.888364055,-3.3,-6.2,-6.893723143,-8.092419355,-6.384843926,-2.953887935,-3.1,-3.860426,-3.396008488,-0.6,9.14,4.1,11,12,16.5,-24.444758,-20.749408,-22.18,-10.7,-27.5,-20,-18.6,0.07,-0.068,-0.038,-0.052,-0.064,-1.19,0.2,-0.24,-0.78,-0.94,-0.96,0.551,79.66666667,0,111,189,0,282
Apr-85,1985,4,32.484,33.8,42.4,46.6,55.3,23.9,-2.326086021,-2.306967742,2.256946236,2.8,1.5,-2.54911828,-2.515290323,-2.549306731,1.264454409,3.1,0.896064516,-1.203634409,5.3,18.42,9.8,15.5,19,23.5,-17.96,-15.32,-12.78,-4.3,-12,-14,-4.6,0.34,-0.055,-0.182,-0.114,-0.131,-1.27,1.421,-0.33,-0.84,-0.98,-0.98,0.652,76.66666667,88.5,118,194,198.5,338
May-85,1985,5,136.3325,65.4,37,64.8,40.9,21.9,1.367242129,0.182928258,6.328301075,8.6,6.9,2.839508559,1.910107527,0.453353075,3.891326839,7.9,3.424760602,3.089654817,11.8,21.8,17.5,20.26,25,27.1,-9.011242,-10.679342,-6.2,-0.4,-6.5,-7,0,-2.13,-0.186,-0.271,-0.28,-0.279,-0.82,-0.146,-0.29,-0.75,-1.11,-0.9,-0.432,0,0,118,0,0,373
Jun-85,1985,6,177.55,51.8,44,45.5,56.4,40.9,4.739016,5.796497333,9.846,9.2,8.7,8.92508,5.542269333,2.19048,10.28985,9.4,8.2265,6.70824,13.1,26.58,18.5,25,26,30.8,-5.903978,-6.954446,-2.96,-0.2,-7,-4,0.3,-1.08,0.304,0.338,0.362,0.345,1.28,-1.395,-0.07,-0.74,-0.85,-0.76,-0.347,0,0,21,0,0,74
Jul-85,1985,7,138.72,15,49.4,45.86,33.2,53.2,11.18373813,10.31351,14.82258065,13.9,14,15.91523,11.32193548,8.01326,15.68854,14,13.604702,10.86034019,18.4,31.16,24.4,28,31,34,-0.677146,0.12022,0.4,3.4,-0.5,-1,5.4,1.09,0.974,0.84,0.897,0.957,-0.19,-0.198,-0.07,-0.43,-0.9,-0.61,-0.39,0,0,0,0,0,0
Aug-85,1985,8,106.65,77.4,84.6,93.2,169.8,66.2,3.512160667,4.467333333,9.263333334,11,9.1,3.696752,3.217333333,5.111491333,8.174078,11,8.20934,4.932,14.3,24.64,20.8,26,27,29.1,-8.190464,-6.96,-4.02,1.2,-3,-9,2.2,2.33,0.943,0.687,0.902,0.876,-0.53,0.662,-0.24,-0.3,-0.79,-0.49,-0.001,0,0,0,0,0,0
Sep-85,1985,9,109.8125,74.6,120.5,39.5,148.8,123.8,6.61890385,6.45230086,10.41886021,4.5,3,5.89338,5.032903226,-3.30757,9.485072666,4.6,9.273945096,6.730322581,6.8,26.72,11.5,20,19,20.1,-3.668158,-4.933858,-2.46,-2.6,-11.5,-14,-9,0,0.705,0.565,0.614,0.655,-0.63,0.002,-0.19,-0.3,-0.74,-0.57,0.114,0,0,0,0,0,0
Oct-85,1985,10,0,50.2,45.7,47.4,38.2,16.7,-2.503104667,-2.714,1.954,2,-1.9,-3.704886,-3.021333333,-2.429333333,0.18,2.8,0.359333333,-1.742666667,4.7,18.98,9.5,14,18,19,-23.378572,-16.58,-15.34,-5.6,-17,-18,-8.6,0.14,0.466,0.441,0.276,0.423,-1.5,-0.76,-0.13,-0.28,-0.84,-0.64,1.035,0,0,0,0,0,0
Nov-85,1985,11,0,19.4,24.1,123.5,23,11.3,-17.56015,-19.23415,-10.28,-15.5,-18,-13.46219,-12,-10.81809,-13.06667,-13.8,-10.887458,-8.321684,-12.6,5.56,-8.3,2,14,11.6,-40.69651,-40.17574,-37.74,-22.7,-44,-42,-33.8,-2.85,-0.288,-0.402,-0.582,-0.451,-1.83,-0.348,-0.16,-0.17,-0.68,-0.43,-1.218,0,0,0,0,0,0
Dec-85,1985,12,0,0.8,26,35.34,11.4,8.7,-9.564921613,-9.470967741,-8.418709677,-5.1,-12.5,-10.24409394,-10.47612903,-8.540025484,-5.334932387,-5.2,-6.534172,-6.84983729,-2.9,5.42,3,3,16,14.8,-34.4,-26.54,-32.78,-13.1,-40.5,-36,-31,-0.43,0.329,0.401,0.39,0.395,1.08,0.124,-0.18,-0.08,-0.67,-0.4,-1.948,0,0,0,0,0,0
Jan-86,1986,1,0,14.8,0.6,40.26,0,0.7,-5.82474,-7.53843,-4.500689655,-1.7,-9,-3.06225,-8.28933,-7.68834,0.21835,-1.7,-3.657398,-5.114374966,-0.8,6.64,5,7,16,13.7,-18.24068,-20.19252,-22.72,-8.3,-30,-23.5,-15.7,1.46,0.968,1.053,0.853,1.024,0.6,0.824,-0.26,-0.37,-0.82,-0.79,-0.568,0,0,0,0,0,0
Feb-86,1986,2,0,48.8,32.6,31.66,35.9,11.3,-11.96637,-13.9036,-9.778064516,-9.8,-13.1,-9.066,-12.51935484,-15.147,-7.70542,-9.7,-9.559005354,-10.90082632,-8.6,6.8,-2.3,9.5,15.5,17.3,-34.78067,-32.41169,-34.52,-17.3,-33,-39.5,-37.5,-4.02,1.546,1.57,1.611,1.678,0.41,-1.283,-0.25,-0.23,-0.54,-0.64,-2.904,81,0,0,177.6666667,0,0
Mar-86,1986,3,29.3075,21.8,13.2,36.78,13.4,5.8,-4.753997097,-5.221225806,-0.887419355,1.4,-2.1,-5.584266065,-5.627935484,-3.646709677,-0.316666667,1.8,-1.366258065,-2.850967742,2.9,12.32,8.7,11,17,19.3,-16.810652,-17.68,-15.4,-5.9,-17,-12.5,-11.6,2.86,1.947,1.769,1.913,1.993,0.51,-0.085,-0.29,-0.33,-0.47,-0.51,1.931,94,0,164,244.6666667,0,394
Apr-86,1986,4,32.316,24.2,43.6,23.12,46.4,11.4,-4.139632,-3.950004,0.950666667,2,0.3,-4.18457,-1.963634,-5.72191,1.9141,1.7,-0.372871333,-2.607727333,4.5,15.98,9.2,15,21,25,-19.105422,-18.029944,-14.94,-5.2,-17,-25,-13.3,-0.93,1.41,1.261,1.305,1.397,-0.15,0.113,-0.31,-0.27,-0.45,-0.41,0.103,101,69.5,157,271,198,462
May-86,1986,5,204.635,81.4,100.7,65.44,91,67.5,3.332047204,3.913037441,8.130408601,7.3,5.7,4.887374129,3.118752688,4.900066882,8.881767225,9.634903225,8.26940157,9.417870581,10.7,23.06,15,26,25.22,32.4,-8.907746,-7.247762,-5.32,-0.4,-8,-3.08,-2.9,2.16,1.098,0.99,0.853,1.034,-0.03,-0.635,-0.19,-0.22,-0.63,-0.47,0.367,0,0,155,0,0,541
Jun-86,1986,6,329.45,69.4,98.4,27.8,86.6,81.1,6.390973097,6.436477333,11.11724731,11.5,10.8,10.63963,6.267462366,4.79845,11.3435,11.7,10.92464,10.63577,15.5,25.96,19.7,25.5,19.9,32.1,-3.174536,-3.443454,-1.22,3.2,-2,3.5,6.5,-1.29,1.054,0.835,1.121,1.045,0.39,1.014,-0.21,0.05,-0.27,-0.08,0.535,0,0,109,0,0,447
Jul-86,1986,7,202.74,96.4,137.8,35.4,121.7,93.7,5.900742516,7.447990839,11.17419355,10.7,9.7,2.68250129,5.320048559,6.656403806,10.45269277,11,8.653565354,12.34647374,14.6,27.02,18.4,23.5,24,26.2,-4.15318,-2.692466,-1.94,3,-2,-1,3.7,0.88,1.388,1.304,1.402,1.444,-0.35,0.241,-0.19,0.15,0.03,0.16,-0.008,0,0,0,0,0,0
Aug-86,1986,8,131.525,36.2,40.8,12.8,41.4,21.7,4.542359269,4.719137914,9.204731183,12.4,12.4,12.47727,3.108903226,3.875677419,7.889522473,13.1,7.39412129,4.138903226,16.3,26.14,21.3,27.5,28,30.2,-7.223436,-7.01843,-4.04,3.5,-3,-3,5,-2.21,0.87,0.475,0.646,0.699,-1.49,-0.853,-0.3,0.32,-0.03,0.24,-0.826,0,0,0,0,0,0
Sep-86,1986,9,91.0525,82.4,139.7,51.5,143.5,145.6,6.258013527,5.891554021,10.73821505,4.3,5.1,5.41242129,5.800236559,-1.86749,9.164435892,10.17611131,8.967403742,6.973580839,7.3,25.64,9.5,18,25.127126,22,-3.207186,-5.162856,-2.04,-1,-6.5,-7,-1.9,-1.34,0.857,0.617,0.679,0.761,-0.28,-0.529,-0.28,0.49,0.32,0.59,-0.023,0,0,0,0,0,0
Oct-86,1986,10,0,17.8,24.8,34.7,54.8,10.6,-0.953204,-1.394983333,1.866,5.9,3.4,-1.244988667,-1.811184,-0.793071333,1.468712667,5.9,1.158146,-0.326892,7.8,19.24,14.5,17,22,23,-16.216226,-15.121112,-13.98,-2.8,-11.5,-13,-11.7,2.27,1.392,1.266,1.278,1.385,1.18,0.535,-0.23,0.56,0.77,0.9,1.425,0,0,0,0,0,0
Nov-86,1986,11,0,50,17.3,53.92,25,11.7,-9.27313,-10.66177,-7.922021505,-7,-9.7,-7.83564,-10.70475269,-11.25973,-5.37164,-6.2,-7.949805484,-8.686098839,-5.4,5.98,0.6,5.5,14,16.7,-29.06507,-31.32659,-31.52,-14.5,-32,-32,-22,3.41,1.754,1.763,1.594,1.813,-0.71,-1.573,-0.26,0.66,0.88,1.04,0.926,0,0,0,0,0,0
Dec-86,1986,12,0,2.8,1,38.82,2.4,1.2,-8.452552,-9.367686,-6.76,-5,-12.9,-7.228278,-7.08341,-8.377668,-4.613292,-4.1,-5.577398,-5.755766,-1.7,5.98,2.5,0,10,10.5,-23.94619,-20.858504,-24.5,-12.4,-31,-24,-15.5,3.42,1.521,1.519,1.516,1.608,1.06,-1.64,-0.22,0.58,0.74,0.98,0.06,0,0,0,0,0,0
Jan-87,1987,1,0,10.4,11.2,37.1,14.5,1.3,-8.020056452,-8.230322581,-6.56516129,-5.4,-12.1,-8.552669097,-8.080942903,-6.676774194,-3.693403806,-4,-5.069366129,-5.756129032,-1.1,6.38,3,2,15,16.5,-27.512574,-23.6,-28.12,-13.8,-34,-30,-18.5,-2.12,1.532,1.423,1.565,1.591,0.63,-0.755,-0.09,0.6,1.04,1.19,-1.148,0,0,0,0,0,0
Feb-87,1987,2,0,13,11.1,32.42,11.5,2.8,-8.06075,-6.074278,-5.299331797,-4.3,-8.5,-6.52141,-7.50433,-6.533231023,-3.25089,-3.3,-3.72425,-3.736993714,-1.5,7.76,4.3,6.5,16,16.4,-31.02379,-21.183978,-26.36,-12.9,-29,-28.5,-17.6,-0.24,1.567,1.59,1.694,1.708,0.57,-1.409,-0.09,0.8,0.98,1.17,-1.473,84,0,0,205.6666667,0,0
Mar-87,1987,3,29.84,23.2,28,55.18,45.5,20.1,-5.852816581,-5.076568774,-2.281290323,-3.3,-3.2,-7.352262452,-6.521290323,-5.19784729,-2.67005071,-2,-2.593277097,-4.232492645,-1.2,12.88,3.8,8.5,19,20.5,-23.719566,-20.555442,-22.94,-10.3,-28,-28.5,-17.9,0.29,1.455,1.501,1.552,1.584,0.85,-2.026,0.05,0.86,1.05,1.24,-1.746,81.66666667,0,92,212.6666667,0,239
Apr-87,1987,4,46.704,42.6,29.9,43.28,28,22.4,2.000196667,2.33881,5.636666667,4,2.5,1.328103333,1.509852667,2.748990667,4.963620667,5.58,3.639635333,2.425176667,7.6,22.16,12.4,26.5,25.24,27.7,-11.219274,-11.32293,-6.56,-4.5,-10,-11.62,-5.9,2.59,1.667,1.572,1.664,1.726,1.54,-2.692,0.16,0.52,0.95,0.89,0.387,89,77,107,239.3333333,190.5,295
May-87,1987,5,147.825,24.2,18.6,37.7,29,12.7,3.96858815,3.91488172,7.997634408,7.7,6.6,4.050115247,3.385462366,4.497225806,6.791204301,7.391784947,6.421290323,4.445741935,11.7,23.82,15.8,22.5,25.66,29.1,-8.30752,-7.9,-4.7,-0.5,-7,-8.38,-4.8,-0.81,1.423,1.267,1.644,1.536,-1.02,-2.116,0.2,0.56,1.07,0.91,0.325,0,0,80,0,87,318
Jun-87,1987,6,179.575,61.4,54.9,53.9,56,21.8,5.096768,5.353162,10.31933333,12.4,11.1,5.972998667,5.224194,5.1386,9.245071333,9.6,7.181429333,6.207889333,16.7,26.68,20.7,25,27.24,31.8,-4.51101,-6.22227,-2.34,4,-3.5,-4.56,4.7,-0.58,0.739,0.548,0.895,0.769,0.56,-2.687,0.32,0.76,1.12,1.24,-0.71,0,0,0,0,0,0
Jul-87,1987,7,146.42,79.6,128.6,60.6,163,126.3,6.681023656,6.365296172,10.62019355,12,12.5,6.085464,5.692903226,2.779325333,9.891634774,9.633999999,10.11897069,7.691860409,15.8,26.24,19.4,31,23.72,31,-2.159028,-3.028998,-2.74,4.6,0,-5.48,3.9,-1.25,1.696,1.694,1.8,1.807,-0.43,-1.816,0.42,0.68,1.34,1.34,-0.466,0,0,0,0,0,0
Aug-87,1987,8,113.6375,67.8,95.8,45.9,87,102.9,5.566689097,6.956214086,11.08724731,9.5,9.3,7.530567462,6.253462366,7.16505615,10.6799043,10.69733333,9.404531829,8.736143247,13.1,28.2,16.8,25.5,24.26,26.6,-4.068438,-2.555692,-0.82,2.1,-3,-2.32,3.1,-2.99,2.061,1.917,2.299,2.171,0.74,-1.667,0.46,0.71,1.43,1.48,-0.836,0,0,0,0,0,0
Sep-87,1987,9,79.725,35.4,40.2,79.6,40,29.2,6.006357269,5.963435806,9.599354838,9.7,9.1,6.643956989,4.675913979,5.586654495,9.723634408,8.4,7.653866345,5.886043011,13.6,25.84,19.8,25,27.06,29.8,-5.56922,-4.780394,-3.18,-0.4,-5,-5.26,0.8,1.27,1.88,1.769,2.008,1.984,-2.6,-1.128,0.33,0.83,1.63,1.53,0.287,0,0,0,0,0,0
Oct-87,1987,10,0,8.6,8.7,20.9,13,2,0.226307075,1.465863247,3.706948925,4.3,2.4,-0.852413226,-0.325319892,0.747128602,3.012556452,3.979504,4.0968,6.21667,7.1,20.3,14.1,22,23.201688,26.9,-12.919628,-12.151764,-9.56,-5.5,-10,-12.705654,-7.9,-0.8,1.241,1.1,1.152,1.244,0.75,-0.691,0.19,0.94,1.23,1.36,-0.08,0,0,0,0,0,0
Nov-87,1987,11,0,6.6,7,49.5,13,5.4,-5.057332,-5.39874,-2.05,0.8,-3.3,-6.649096,-5.726,-4.123686,0.0546,-1.14,-1.932698,2.61146,2,9.08,8.2,8,17.12,18.7,-20.259946,-20.08826,-15.58,-6.6,-22,-21.82,-18.8,-0.67,1.135,1.092,1.01,1.159,1.19,-0.074,0.13,1.01,1.16,1.29,-0.536,0,0,0,0,0,0
Dec-87,1987,12,0,30.2,9.4,51.2,8.6,4.9,-8.975054838,-11.66538,-7.941290322,-6,-12.8,-9.455345034,-8.097025161,-8.383864001,-6.01649,-5.1,-4.745218194,-3.43204,-2.9,5.2,0.8,3,11,12.4,-25.497708,-22.90739,-26.02,-12.8,-31,-30,-23.7,-0.81,0.736,0.861,0.854,0.874,0.5,-0.664,0.22,0.94,1.07,1.05,-0.534,0,0,0,0,0,0
Jan-88,1988,1,0,24.6,6.6,52.22,15,4.3,-10.9339811,-12.26070323,-10.36129032,-10.4,-16.1,-11.53247194,-11.36258064,-10.15036587,-7.736675935,-10.1,-10.29610652,-9.138041227,-8.5,6.56,-1.7,0.5,11,10.4,-31.779862,-33.928686,-37.78,-19,-38,-37,-30.6,0.53,0.309,0.399,0.517,0.415,0.03,-0.313,0.05,0.67,0.51,0.69,0.265,0,0,0,0,0,0
Feb-88,1988,2,0,8.6,5.9,33.86,9,4.3,-8.99235,-9.39185529,-6.359354839,-7.7,-9.8,-10.72744,-8.552258064,-8.431626,-4.40692,-5,-5.77086,-2.52338,-3.9,7.16,0.9,10.5,16,18.1,-38.2,-27.452708,-31.54,-16.3,-39.5,-38,-30.1,-0.11,0.558,0.643,0.461,0.575,1.37,-0.645,-0.01,0.44,0.09,0.35,-1.066,60,0,0,121,0,0
Mar-88,1988,3,24.735,24.2,40.9,34.38,65.2,19.8,-4.795849419,-3.954560903,-1.055483871,-1.4,-3.5,-5.412150538,-4.359119484,-3.821573936,-1.057429355,-1.4,-2.246714215,-2.91192,0.9,13.78,5.2,8,14,16.1,-21.052194,-18.067922,-19.14,-8,-21,-22,-13.5,0.78,0.584,0.633,0.605,0.639,0.38,0.126,0.07,0.31,0.1,0.29,-0.197,61.66666667,0,100,144.6666667,0,269
Apr-88,1988,4,39.486,47,20,34.44,18.8,1.5,-0.964270903,-1.575935484,2.376666667,3.6,1.9,-0.666408602,-1.63356,-0.359935484,2.756262,4.4,2.052516667,0.224731183,6.4,17.52,12.2,20,24,23.6,-13.864932,-14.28,-11.92,-5.1,-19.5,-12,-7.1,-2.39,0.515,0.475,0.483,0.512,1.12,-0.035,0.17,-0.26,-0.75,-0.49,-0.561,71.33333333,86.5,121,188,213.5,333
May-88,1988,5,121.54,45.2,22.3,46.4,43.4,16,5.639661807,6.022774194,10.49410753,7.6,6.5,5.510615527,6.253333333,6.038817204,8.736056194,8.5,8.422669313,6.508372366,12.4,25.3,15.8,24,28.5,29.6,-5.724252,-4.6,-2.08,-0.6,-7,-6.5,-2.7,-1.24,0.549,0.49,0.67,0.595,0.61,1.088,0.23,-0.58,-1.3,-1.05,-0.846,0,0,87,0,0,315
Jun-88,1988,6,234.45,78.2,73.7,46.1,81.6,84.6,6.378473118,5.42935,10.39858064,11.9,11,6.325524667,5.824129032,5.629206667,13.25652,11.9,8.882455333,11.80365,16.3,28,20.3,27,27,29.6,-3.04,-4.07846,-1.06,3.4,-2,-3,4,-2.75,0.22,0.307,0.364,0.295,1.31,-0.2,0.29,-0.77,-1.85,-1.46,0.061,0,0,14,0,0,51
Jul-88,1988,7,153.5,105,58.6,51.5,32,46.8,7.253660136,7.246617691,11.72303893,11.4,11.9,9.35696,6.721205832,7.352926879,14.28174,12.6,9.194046314,6.992870779,16.5,27.68,20.4,27,30,32.8,-2.568068,-3.86227,-0.88,2.3,-1,-3,4.8,1.46,0.198,0.172,0.257,0.204,1.6,1.166,0.26,-0.92,-1.77,-1.54,-0.143,0,0,0,0,0,0
Aug-88,1988,8,119.35,70,166.6,22.2,183.1,163.9,7.091906516,7.656102043,11.15255914,9.7,11.3,7.85207028,5.63860215,5.048803075,10.26675161,12.3,9.753894881,8.551157979,15,25.76,18.7,28,28,30.1,-1.80925,-0.951748,-0.16,0.6,-1,-2.5,3.6,0.73,-0.014,-0.362,0.145,-0.121,-0.62,1.362,0.09,-0.89,-1.56,-1.44,0.255,0,0,0,0,0,0
Sep-88,1988,9,79.9425,53.8,28.2,11.1,51.1,43.5,2.281948667,2.404,7.262666667,5.3,6.6,7.357093656,1.812,3.359333333,8.8137,8.5,5.525999999,5.43248,10.7,23.48,15.5,29,29.5,29.6,-10.12922,-9.5,-5.24,-5,-8,-7,-2.3,0.8,-0.242,-0.334,-0.298,-0.329,-0.97,1.919,-0.03,-1.03,-1.4,-1.33,1.039,0,0,0,0,0,0
Oct-88,1988,10,0,24.4,17.2,22.2,26,8,-2.008224968,-2.309641935,1.59608871,1.5,3.8,-0.04856,-2.550846774,-1.060793548,6.65131,5.4,4.49925,-0.810625871,6.8,18.92,13,21.5,27,24.6,-14.79565,-15.281112,-13,-10.1,-15,-18,-12.7,-2.02,0.058,-0.05,0.111,0.024,0.89,1.346,-0.02,-1.58,-1.86,-2.09,0.032,0,0,0,0,0,0
Nov-88,1988,11,0,14.6,4,29.86,6,7.1,-7.834059161,-7.599298903,-4.597419355,-3.9,-6.4,-6.474495484,-7.70933,-6.343474452,-2.529088645,-2.7,-3.580957677,-4.82714471,-0.3,9.22,3.7,7,16,16.3,-23.889012,-19.978504,-22.5,-11.4,-26,-26,-19.4,-1.47,0.105,0.056,-0.095,0.019,0.11,1.92,0.06,-1.65,-1.84,-2.18,-0.035,0,0,0,0,0,0
Dec-88,1988,12,0,43.6,9.6,38.5,32.5,4.9,-9.114043398,-9.846378667,-7.742021505,-6.5,-12.6,-9.473758,-9.575092301,-9.9995,-3.32047,-6.2,-7.431391484,-5.78236,-5,7.58,1.4,1,16,18,-32.454954,-29.334272,-32.68,-14.3,-33,-30,-24.8,1.85,-0.292,-0.136,-0.231,-0.247,0.33,1.089,-0.01,-1.59,-1.76,-1.98,1.679,0,0,0,0,0,0
Jan-89,1989,1,0,44.8,36.8,34.02,39.4,23.4,-4.83539,-13.34389972,-11.81870968,-8.5,-13.3,-12.6040017,-12.31327387,-12.78738,-5.48155,-8.1,-10.00087583,-8.49768,-7.1,5.36,-0.6,3,12,11.8,-30.50263,-31.622338,-37.16,-16.3,-35,-36,-34.1,3.53,-1.088,-0.989,-1.153,-1.162,-1.57,1.314,0.01,-1.61,-1.39,-1.95,3.106,0,0,0,0,0,0
